Date,Holiday_Name,Holiday_Type,Year,Month,Year_Month,Day_Of_Week,is_public_holiday,is_bank_holiday,is_mercantile_holiday,is_poya_day,is_weekend_holiday,is_long_weekend_proxy,is_festive_holiday
2023-01-06,Duruthu Full Moon Poya Day,Public,2023,1,2023-01,4,1,0,0,1,0,1,0
2023-01-15,Tamil Thai Pongal Day,Public,2023,1,2023-01,6,1,0,0,0,1,0,1
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Public,2023,1,2023-01,0,1,0,0,0,0,1,1
2023-02-03,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Public,2023,2,2023-02,4,1,0,0,0,0,1,0
2023-02-04,National Day,Public,2023,2,2023-02,5,1,0,0,0,1,0,1
2023-02-05,Navam Full Moon Poya Day,Public,2023,2,2023-02,6,1,0,0,1,1,0,0
2024-03-24,Medin Full Moon Poya Day,Public,2024,3,2024-03,6,1,0,0,1,1,0,0
2023-03-06,Medin Full Moon Poya Day,Public,2023,3,2023-03,0,1,0,0,1,0,1,0
2023-04-05,Bak Full Moon Poya Day,Public,2023,4,2023-04,2,1,0,0,1,0,0,0
2023-04-07,Good Friday,Public,2023,4,2023-04,4,1,0,0,0,0,1,0
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Public,2023,4,2023-04,3,1,0,0,0,0,0,1
2023-04-14,Sinhala and Tamil New Year Day,Public,2023,4,2023-04,4,1,0,0,0,0,1,1
2023-05-01,Labour Day,Public,2023,5,2023-05,0,1,0,0,0,0,1,1
2023-05-04,Additional Half Holiday in lieu of Day following Vesak Full Moon Poya Day falling on Saturday,Public,2023,5,2023-05,3,1,0,0,1,0,0,1
2023-05-05,Vesak Full Moon Poya Day,Public,2023,5,2023-05,4,1,0,0,1,0,1,1
2023-05-06,Day after Vesak Full Moon Poya Day,Public,2023,5,2023-05,5,1,0,0,1,1,0,1
2023-06-03,Poson Full Moon Poya Day,Public,2023,6,2023-06,5,1,0,0,1,1,0,0
2023-07-03,Adi Esala Full Moon Poya Day,Public,2023,7,2023-07,0,1,0,0,1,0,1,0
2023-08-01,Esala Full Moon Poya Day,Public,2023,8,2023-08,1,1,0,0,1,0,0,0
2023-08-30,Nikini Full Moon Poya Day,Public,2023,8,2023-08,2,1,0,0,1,0,0,0
2023-09-28,Holy Prophet's Birthday,Public,2023,9,2023-09,3,1,0,0,0,0,0,0
2023-09-29,Binara Full Moon Poya Day,Public,2023,9,2023-09,4,1,0,0,1,0,1,0
2023-10-28,Vap Full Moon Poya Day,Public,2023,10,2023-10,5,1,0,0,1,1,0,0
2023-11-26,Il Full Moon Poya Day,Public,2023,11,2023-11,6,1,0,0,1,1,0,0
2023-12-25,Christmas Day,Public,2023,12,2023-12,0,1,0,0,0,0,1,1
2023-12-26,Unduvap Full Moon Poya Day,Public,2023,12,2023-12,1,1,0,0,1,0,0,0
2023-01-06,Duruthu Full Moon Poya Day,Poya Day,2023,1,2023-01,4,0,0,0,1,0,1,0
2025-02-12,Navam Full Moon Poya Day,Poya Day,2025,2,2025-02,2,0,0,0,1,0,0,0
2024-02-23,Navam Full Moon Poya Day,Poya Day,2024,2,2024-02,4,0,0,0,1,0,1,0
2023-02-05,Navam Full Moon Poya Day,Poya Day,2023,2,2023-02,6,0,0,0,1,1,0,0
2024-03-24,Medin Full Moon Poya Day,Poya Day,2024,3,2024-03,6,0,0,0,1,1,0,0
2023-03-06,Medin Full Moon Poya Day,Poya Day,2023,3,2023-03,0,0,0,0,1,0,1,0
2023-04-05,Bak Full Moon Poya Day,Poya Day,2023,4,2023-04,2,0,0,0,1,0,0,0
2024-04-24,Bak Full Moon Poya Day,Poya Day,2024,4,2024-04,2,0,0,0,1,0,0,0
2024-05-23,Vesak Full Moon Poya Day,Poya Day,2024,5,2024-05,3,0,0,0,1,0,0,1
2023-05-05,Vesak Full Moon Poya Day,Poya Day,2023,5,2023-05,4,0,0,0,1,0,1,1
2025-08-10,Nikini Full Moon Poya Day,Poya Day,2025,8,2025-08,6,0,0,0,1,1,0,0
2023-06-03,Poson Full Moon Poya Day,Poya Day,2023,6,2023-06,5,0,0,0,1,1,0,0
2023-07-03,Adi Esala Full Moon Poya Day,Poya Day,2023,7,2023-07,0,0,0,0,1,0,1,0
2023-08-01,Esala Full Moon Poya Day,Poya Day,2023,8,2023-08,1,0,0,0,1,0,0,0
2023-08-30,Nikini Full Moon Poya Day,Poya Day,2023,8,2023-08,2,0,0,0,1,0,0,0
2024-09-17,Binara Full Moon Poya Day,Poya Day,2024,9,2024-09,1,0,0,0,1,0,0,0
2023-09-29,Binara Full Moon Poya Day,Poya Day,2023,9,2023-09,4,0,0,0,1,0,1,0
2023-10-28,Vap Full Moon Poya Day,Poya Day,2023,10,2023-10,5,0,0,0,1,1,0,0
2023-11-26,Il Full Moon Poya Day,Poya Day,2023,11,2023-11,6,0,0,0,1,1,0,0
2024-12-14,Unduvap Full Moon Poya Day,Poya Day,2024,12,2024-12,5,0,0,0,1,1,0,0
2023-12-26,Unduvap Full Moon Poya Day,Poya Day,2023,12,2023-12,1,0,0,0,1,0,0,0
2023-01-06,Duruthu Full Moon Poya Day,Bank,2023,1,2023-01,4,0,1,0,1,0,1,0
2023-01-15,Tamil Thai Pongal Day,Bank,2023,1,2023-01,6,0,1,0,0,1,0,1
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Bank,2023,1,2023-01,0,0,1,0,0,0,1,1
2023-02-03,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Bank,2023,2,2023-02,4,0,1,0,0,0,1,0
2023-02-04,National Day,Bank,2023,2,2023-02,5,0,1,0,0,1,0,1
2023-02-05,Navam Full Moon Poya Day,Bank,2023,2,2023-02,6,0,1,0,1,1,0,0
2024-03-24,Medin Full Moon Poya Day,Bank,2024,3,2024-03,6,0,1,0,1,1,0,0
2023-03-06,Medin Full Moon Poya Day,Bank,2023,3,2023-03,0,0,1,0,1,0,1,0
2023-04-05,Bak Full Moon Poya Day,Bank,2023,4,2023-04,2,0,1,0,1,0,0,0
2023-04-07,Good Friday,Bank,2023,4,2023-04,4,0,1,0,0,0,1,0
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Bank,2023,4,2023-04,3,0,1,0,0,0,0,1
2023-04-14,Sinhala and Tamil New Year Day,Bank,2023,4,2023-04,4,0,1,0,0,0,1,1
2023-05-01,Labour Day,Bank,2023,5,2023-05,0,0,1,0,0,0,1,1
2023-05-04,Additional Half Holiday in lieu of Day following Vesak Full Moon Poya Day falling on Saturday,Bank,2023,5,2023-05,3,0,1,0,1,0,0,1
2023-05-05,Vesak Full Moon Poya Day,Bank,2023,5,2023-05,4,0,1,0,1,0,1,1
2023-05-06,Day after Vesak Full Moon Poya Day,Bank,2023,5,2023-05,5,0,1,0,1,1,0,1
2023-06-03,Poson Full Moon Poya Day,Bank,2023,6,2023-06,5,0,1,0,1,1,0,0
2023-07-03,Adi Esala Full Moon Poya Day,Bank,2023,7,2023-07,0,0,1,0,1,0,1,0
2023-08-01,Esala Full Moon Poya Day,Bank,2023,8,2023-08,1,0,1,0,1,0,0,0
2023-08-30,Nikini Full Moon Poya Day,Bank,2023,8,2023-08,2,0,1,0,1,0,0,0
2023-09-28,Holy Prophet's Birthday,Bank,2023,9,2023-09,3,0,1,0,0,0,0,0
2023-09-29,Binara Full Moon Poya Day,Bank,2023,9,2023-09,4,0,1,0,1,0,1,0
2023-10-28,Vap Full Moon Poya Day,Bank,2023,10,2023-10,5,0,1,0,1,1,0,0
2023-11-26,Il Full Moon Poya Day,Bank,2023,11,2023-11,6,0,1,0,1,1,0,0
2023-12-25,Christmas Day,Bank,2023,12,2023-12,0,0,1,0,0,0,1,1
2023-12-26,Unduvap Full Moon Poya Day,Bank,2023,12,2023-12,1,0,1,0,1,0,0,0
2023-01-06,Duruthu Full Moon Poya Day,Mercantile,2023,1,2023-01,4,0,0,1,1,0,1,0
2023-01-15,Tamil Thai Pongal Day,Mercantile,2023,1,2023-01,6,0,0,1,0,1,0,1
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Mercantile,2023,1,2023-01,0,0,0,1,0,0,1,1
2023-02-03,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Mercantile,2023,2,2023-02,4,0,0,1,0,0,1,0
2023-02-04,National Day,Mercantile,2023,2,2023-02,5,0,0,1,0,1,0,1
2023-02-05,Navam Full Moon Poya Day,Mercantile,2023,2,2023-02,6,0,0,1,1,1,0,0
2024-03-24,Medin Full Moon Poya Day,Mercantile,2024,3,2024-03,6,0,0,1,1,1,0,0
2023-03-06,Medin Full Moon Poya Day,Mercantile,2023,3,2023-03,0,0,0,1,1,0,1,0
2023-04-05,Bak Full Moon Poya Day,Mercantile,2023,4,2023-04,2,0,0,1,1,0,0,0
2023-04-07,Good Friday,Mercantile,2023,4,2023-04,4,0,0,1,0,0,1,0
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Mercantile,2023,4,2023-04,3,0,0,1,0,0,0,1
2023-04-14,Sinhala and Tamil New Year Day,Mercantile,2023,4,2023-04,4,0,0,1,0,0,1,1
2023-05-01,Labour Day,Mercantile,2023,5,2023-05,0,0,0,1,0,0,1,1
2023-05-04,Additional Half Holiday in lieu of Day following Vesak Full Moon Poya Day falling on Saturday,Mercantile,2023,5,2023-05,3,0,0,1,1,0,0,1
2023-05-05,Vesak Full Moon Poya Day,Mercantile,2023,5,2023-05,4,0,0,1,1,0,1,1
2023-05-06,Day after Vesak Full Moon Poya Day,Mercantile,2023,5,2023-05,5,0,0,1,1,1,0,1
2023-06-03,Poson Full Moon Poya Day,Mercantile,2023,6,2023-06,5,0,0,1,1,1,0,0
2023-07-03,Adi Esala Full Moon Poya Day,Mercantile,2023,7,2023-07,0,0,0,1,1,0,1,0
2023-08-01,Esala Full Moon Poya Day,Mercantile,2023,8,2023-08,1,0,0,1,1,0,0,0
2023-08-30,Nikini Full Moon Poya Day,Mercantile,2023,8,2023-08,2,0,0,1,1,0,0,0
2023-09-28,Holy Prophet's Birthday,Mercantile,2023,9,2023-09,3,0,0,1,0,0,0,0
2023-09-29,Binara Full Moon Poya Day,Mercantile,2023,9,2023-09,4,0,0,1,1,0,1,0
2023-10-28,Vap Full Moon Poya Day,Mercantile,2023,10,2023-10,5,0,0,1,1,1,0,0
2023-11-26,Il Full Moon Poya Day,Mercantile,2023,11,2023-11,6,0,0,1,1,1,0,0
2023-12-25,Christmas Day,Mercantile,2023,12,2023-12,0,0,0,1,0,0,1,1
2023-12-26,Unduvap Full Moon Poya Day,Mercantile,2023,12,2023-12,1,0,0,1,1,0,0,0
2024-01-25,Duruthu Full Moon Poya Day,Public,2024,1,2024-01,3,1,0,0,1,0,0,0
2024-01-15,Tamil Thai Pongal Day,Public,2024,1,2024-01,0,1,0,0,0,0,1,1
2024-02-05,Additional Half Holiday in lieu of the Independence Day falling on Sunday,Public,2024,2,2024-02,0,1,0,0,0,0,1,0
2024-02-04,National Day,Public,2024,2,2024-02,6,1,0,0,0,1,0,1
2024-02-23,Navam Full Moon Poya Day,Public,2024,2,2024-02,4,1,0,0,1,0,1,0
2024-03-08,Maha Shiva Rathri Day,Public,2024,3,2024-03,4,1,0,0,0,0,1,0
2024-03-29,Good Friday,Public,2024,3,2024-03,4,1,0,0,0,0,1,0
2024-04-11,Ramazan Day,Public,2024,4,2024-04,3,1,0,0,0,0,0,1
2024-04-13,Day Prior to Sinhala and Tamil New Year Day,Public,2024,4,2024-04,5,1,0,0,0,1,0,1
2024-04-14,Sinhala and Tamil New Year Day,Public,2024,4,2024-04,6,1,0,0,0,1,0,1
2024-04-23,Bak Full Moon Poya Day,Public,2024,4,2024-04,1,1,0,0,1,0,0,0
2024-05-01,Labour Day,Public,2024,5,2024-05,2,1,0,0,0,0,0,1
2024-05-23,Vesak Full Moon Poya Day,Public,2024,5,2024-05,3,1,0,0,1,0,0,1
2024-05-24,Day after Vesak Full Moon Poya Day,Public,2024,5,2024-05,4,1,0,0,1,0,1,1
2024-06-17,Hajji Festival Day,Public,2024,6,2024-06,0,1,0,0,0,0,1,0
2024-06-21,Poson Full Moon Poya Day,Public,2024,6,2024-06,4,1,0,0,1,0,1,0
2024-07-20,Esala Full Moon Poya Day,Public,2024,7,2024-07,5,1,0,0,1,1,0,0
2024-08-19,Nikini Full Moon Poya Day,Public,2024,8,2024-08,0,1,0,0,1,0,1,0
2024-09-16,Holy Prophet's Birthday,Public,2024,9,2024-09,0,1,0,0,0,0,1,0
2024-09-17,Binara Full Moon Poya Day,Public,2024,9,2024-09,1,1,0,0,1,0,0,0
2024-10-17,Vap Full Moon Poya Day,Public,2024,10,2024-10,3,1,0,0,1,0,0,0
2024-10-31,Deepavali Day,Public,2024,10,2024-10,3,1,0,0,0,0,0,1
2024-11-15,Il Full Moon Poya Day,Public,2024,11,2024-11,4,1,0,0,1,0,1,0
2024-12-14,Unduvap Full Moon Poya Day,Public,2024,12,2024-12,5,1,0,0,1,1,0,0
2024-12-25,Christmas Day,Public,2024,12,2024-12,2,1,0,0,0,0,0,1
2024-01-25,Duruthu Full Moon Poya Day,Poya Day,2024,1,2024-01,3,0,0,0,1,0,0,0
2024-06-21,Poson Full Moon Poya Day,Poya Day,2024,6,2024-06,4,0,0,0,1,0,1,0
2024-07-20,Esala Full Moon Poya Day,Poya Day,2024,7,2024-07,5,0,0,0,1,1,0,0
2024-08-19,Nikini Full Moon Poya Day,Poya Day,2024,8,2024-08,0,0,0,0,1,0,1,0
2024-10-17,Vap Full Moon Poya Day,Poya Day,2024,10,2024-10,3,0,0,0,1,0,0,0
2024-11-15,Il Full Moon Poya Day,Poya Day,2024,11,2024-11,4,0,0,0,1,0,1,0
2024-01-25,Duruthu Full Moon Poya Day,Bank,2024,1,2024-01,3,0,1,0,1,0,0,0
2024-01-15,Tamil Thai Pongal Day,Bank,2024,1,2024-01,0,0,1,0,0,0,1,1
2024-02-05,Additional Half Holiday in lieu of the Independence Day falling on Sunday,Bank,2024,2,2024-02,0,0,1,0,0,0,1,0
2024-02-04,National Day,Bank,2024,2,2024-02,6,0,1,0,0,1,0,1
2024-02-23,Navam Full Moon Poya Day,Bank,2024,2,2024-02,4,0,1,0,1,0,1,0
2024-03-08,Maha Shiva Rathri Day,Bank,2024,3,2024-03,4,0,1,0,0,0,1,0
2024-03-29,Good Friday,Bank,2024,3,2024-03,4,0,1,0,0,0,1,0
2024-04-11,Ramazan Day,Bank,2024,4,2024-04,3,0,1,0,0,0,0,1
2024-04-13,Day Prior to Sinhala and Tamil New Year Day,Bank,2024,4,2024-04,5,0,1,0,0,1,0,1
2024-04-14,Sinhala and Tamil New Year Day,Bank,2024,4,2024-04,6,0,1,0,0,1,0,1
2024-04-25,Bak Full Moon Poya Day,Bank,2024,4,2024-04,3,0,1,0,1,0,0,0
2024-05-01,Labour Day,Bank,2024,5,2024-05,2,0,1,0,0,0,0,1
2024-05-23,Vesak Full Moon Poya Day,Bank,2024,5,2024-05,3,0,1,0,1,0,0,1
2024-05-24,Day after Vesak Full Moon Poya Day,Bank,2024,5,2024-05,4,0,1,0,1,0,1,1
2024-06-17,Hajji Festival Day,Bank,2024,6,2024-06,0,0,1,0,0,0,1,0
2024-06-21,Poson Full Moon Poya Day,Bank,2024,6,2024-06,4,0,1,0,1,0,1,0
2024-07-20,Esala Full Moon Poya Day,Bank,2024,7,2024-07,5,0,1,0,1,1,0,0
2024-08-19,Nikini Full Moon Poya Day,Bank,2024,8,2024-08,0,0,1,0,1,0,1,0
2024-09-16,Holy Prophet's Birthday,Bank,2024,9,2024-09,0,0,1,0,0,0,1,0
2024-09-17,Binara Full Moon Poya Day,Bank,2024,9,2024-09,1,0,1,0,1,0,0,0
2024-10-17,Vap Full Moon Poya Day,Bank,2024,10,2024-10,3,0,1,0,1,0,0,0
2024-10-31,Deepavali Day,Bank,2024,10,2024-10,3,0,1,0,0,0,0,1
2024-11-15,Il Full Moon Poya Day,Bank,2024,11,2024-11,4,0,1,0,1,0,1,0
2024-12-14,Unduvap Full Moon Poya Day,Bank,2024,12,2024-12,5,0,1,0,1,1,0,0
2024-12-25,Christmas Day,Bank,2024,12,2024-12,2,0,1,0,0,0,0,1
2024-01-25,Duruthu Full Moon Poya Day,Mercantile,2024,1,2024-01,3,0,0,1,1,0,0,0
2024-01-15,Tamil Thai Pongal Day,Mercantile,2024,1,2024-01,0,0,0,1,0,0,1,1
2024-02-05,Additional Half Holiday in lieu of the Independence Day falling on Sunday,Mercantile,2024,2,2024-02,0,0,0,1,0,0,1,0
2024-02-04,National Day,Mercantile,2024,2,2024-02,6,0,0,1,0,1,0,1
2024-02-23,Navam Full Moon Poya Day,Mercantile,2024,2,2024-02,4,0,0,1,1,0,1,0
2024-03-29,Good Friday,Mercantile,2024,3,2024-03,4,0,0,1,0,0,1,0
2024-04-13,Day Prior to Sinhala and Tamil New Year Day,Mercantile,2024,4,2024-04,5,0,0,1,0,1,0,1
2024-04-14,Sinhala and Tamil New Year Day,Mercantile,2024,4,2024-04,6,0,0,1,0,1,0,1
2024-04-26,Bak Full Moon Poya Day,Mercantile,2024,4,2024-04,4,0,0,1,1,0,1,0
2024-05-01,Labour Day,Mercantile,2024,5,2024-05,2,0,0,1,0,0,0,1
2024-05-23,Vesak Full Moon Poya Day,Mercantile,2024,5,2024-05,3,0,0,1,1,0,0,1
2024-05-24,Day after Vesak Full Moon Poya Day,Mercantile,2024,5,2024-05,4,0,0,1,1,0,1,1
2024-06-21,Poson Full Moon Poya Day,Mercantile,2024,6,2024-06,4,0,0,1,1,0,1,0
2024-07-20,Esala Full Moon Poya Day,Mercantile,2024,7,2024-07,5,0,0,1,1,1,0,0
2024-08-19,Nikini Full Moon Poya Day,Mercantile,2024,8,2024-08,0,0,0,1,1,0,1,0
2024-09-16,Holy Prophet's Birthday,Mercantile,2024,9,2024-09,0,0,0,1,0,0,1,0
2024-09-17,Binara Full Moon Poya Day,Mercantile,2024,9,2024-09,1,0,0,1,1,0,0,0
2024-10-17,Vap Full Moon Poya Day,Mercantile,2024,10,2024-10,3,0,0,1,1,0,0,0
2024-11-15,Il Full Moon Poya Day,Mercantile,2024,11,2024-11,4,0,0,1,1,0,1,0
2024-12-14,Unduvap Full Moon Poya Day,Mercantile,2024,12,2024-12,5,0,0,1,1,1,0,0
2024-12-25,Christmas Day,Mercantile,2024,12,2024-12,2,0,0,1,0,0,0,1
2025-01-13,Duruthu Full Moon Poya Day,Public,2025,1,2025-01,0,1,0,0,1,0,1,0
2025-01-14,Tamil Thai Pongal Day,Public,2025,1,2025-01,1,1,0,0,0,0,0,1
2025-02-04,lndependence Day,Public,2025,2,2025-02,1,1,0,0,0,0,0,0
2025-02-12,Navam Full Moon Poya Day,Public,2025,2,2025-02,2,1,0,0,1,0,0,0
2025-03-13,Madin Full Moon Poya Day,Public,2025,3,2025-03,3,1,0,0,1,0,0,0
2025-04-12,Bak Full Moon Poya Day,Public,2025,4,2025-04,5,1,0,0,1,1,0,0
2025-04-13,Day Prior to Sinhala & Tamil New Year Day,Public,2025,4,2025-04,6,1,0,0,0,1,0,1
2025-04-14,Sinhala & Tamil New Year Day,Public,2025,4,2025-04,0,1,0,0,0,0,1,1
2025-04-18,Good Friday,Public,2025,4,2025-04,4,1,0,0,0,0,1,0
2025-05-01,May Day,Public,2025,5,2025-05,3,1,0,0,0,0,0,0
2025-05-12,Vesak Full Moon Poya Day,Public,2025,5,2025-05,0,1,0,0,1,0,1,1
2025-05-13,Day following Vesak Full Moon Poya Day,Public,2025,5,2025-05,1,1,0,0,1,0,0,1
2025-06-10,Poson Full Moon Poya Day,Public,2025,6,2025-06,1,1,0,0,1,0,0,0
2025-07-10,Esala Full Moon Poya Day,Public,2025,7,2025-07,3,1,0,0,1,0,0,0
2025-08-10,Nikini Full Moon Poya Day,Public,2025,8,2025-08,6,1,0,0,1,1,0,0
2025-09-05,Holy Prophet's Birthday (Milad-Un-Nabi),Public,2025,9,2025-09,4,1,0,0,0,0,1,0
2025-09-07,Binara Full Moon Poya Day,Public,2025,9,2025-09,6,1,0,0,1,1,0,0
2025-10-06,Vap Full Moon Poya Day,Public,2025,10,2025-10,0,1,0,0,1,0,1,0
2025-11-05,Ill Full Moon Poya Day,Public,2025,11,2025-11,2,1,0,0,1,0,0,0
2025-12-04,Unduvap Full Moon Poya Day,Public,2025,12,2025-12,3,1,0,0,1,0,0,0
2025-12-25,Christmas Day,Public,2025,12,2025-12,3,1,0,0,0,0,0,1
2025-01-13,Duruthu Full Moon Poya Day,Poya Day,2025,1,2025-01,0,0,0,0,1,0,1,0
2025-03-13,Madin Full Moon Poya Day,Poya Day,2025,3,2025-03,3,0,0,0,1,0,0,0
2025-04-12,Bak Full Moon Poya Day,Poya Day,2025,4,2025-04,5,0,0,0,1,1,0,0
2025-04-13,Day Prior to Sinhala & Tamil New Year Day,Poya Day,2025,4,2025-04,6,0,0,0,1,1,0,1
2025-04-14,Sinhala & Tamil New Year Day,Poya Day,2025,4,2025-04,0,0,0,0,1,0,1,1
2025-05-12,Vesak Full Moon Poya Day,Poya Day,2025,5,2025-05,0,0,0,0,1,0,1,1
2025-06-10,Poson Full Moon Poya Day,Poya Day,2025,6,2025-06,1,0,0,0,1,0,0,0
2025-07-10,Esala Full Moon Poya Day,Poya Day,2025,7,2025-07,3,0,0,0,1,0,0,0
2025-10-06,Vap Full Moon Poya Day,Poya Day,2025,10,2025-10,0,0,0,0,1,0,1,0
2025-11-05,Ill Full Moon Poya Day,Poya Day,2025,11,2025-11,2,0,0,0,1,0,0,0
2025-12-04,Unduvap Full Moon Poya Day,Poya Day,2025,12,2025-12,3,0,0,0,1,0,0,0
2025-01-13,Duruthu Full Moon Poya Day,Bank,2025,1,2025-01,0,0,1,0,1,0,1,0
2025-01-14,Tamil Thai Pongal Day,Bank,2025,1,2025-01,1,0,1,0,0,0,0,1
2025-02-04,lndependence Day,Bank,2025,2,2025-02,1,0,1,0,0,0,0,0
2025-02-12,Navam Full Moon Poya Day,Bank,2025,2,2025-02,2,0,1,0,1,0,0,0
2025-03-13,Madin Full Moon Poya Day,Bank,2025,3,2025-03,3,0,1,0,1,0,0,0
2025-04-12,Bak Full Moon Poya Day,Bank,2025,4,2025-04,5,0,1,0,1,1,0,0
2025-04-13,Day Prior to Sinhala & Tamil New Year Day,Bank,2025,4,2025-04,6,0,1,0,0,1,0,1
2025-04-14,Sinhala & Tamil New Year Day,Bank,2025,4,2025-04,0,0,1,0,0,0,1,1
2025-04-15,Additional full holiday in lieu of Day prior to Sinhala & Tamil New Year Day falling on Sunday,Bank,2025,4,2025-04,1,0,1,0,0,0,0,1
2025-04-18,Good Friday,Bank,2025,4,2025-04,4,0,1,0,0,0,1,0
2025-05-01,May Day,Bank,2025,5,2025-05,3,0,1,0,0,0,0,0
2025-05-12,Vesak Full Moon Poya Day,Bank,2025,5,2025-05,0,0,1,0,1,0,1,1
2025-05-13,Day following Vesak Full Moon Poya Day,Bank,2025,5,2025-05,1,0,1,0,1,0,0,1
2025-06-10,Poson Full Moon Poya Day,Bank,2025,6,2025-06,1,0,1,0,1,0,0,0
2025-07-10,Esala Full Moon Poya Day,Bank,2025,7,2025-07,3,0,1,0,1,0,0,0
2025-08-10,Nikini Full Moon Poya Day,Bank,2025,8,2025-08,6,0,1,0,1,1,0,0
2025-09-05,Holy Prophet's Birthday (Milad-Un-Nabi),Bank,2025,9,2025-09,4,0,1,0,0,0,1,0
2025-09-07,Binara Full Moon Poya Day,Bank,2025,9,2025-09,6,0,1,0,1,1,0,0
2025-10-06,Vap Full Moon Poya Day,Bank,2025,10,2025-10,0,0,1,0,1,0,1,0
2025-11-05,Ill Full Moon Poya Day,Bank,2025,11,2025-11,2,0,1,0,1,0,0,0
2025-12-04,Unduvap Full Moon Poya Day,Bank,2025,12,2025-12,3,0,1,0,1,0,0,0
2025-12-25,Christmas Day,Bank,2025,12,2025-12,3,0,1,0,0,0,0,1
2025-01-13,Duruthu Full Moon Poya Day,Mercantile,2025,1,2025-01,0,0,0,1,1,0,1,0
2025-01-14,Tamil Thai Pongal Day,Mercantile,2025,1,2025-01,1,0,0,1,0,0,0,1
2025-02-04,lndependence Day,Mercantile,2025,2,2025-02,1,0,0,1,0,0,0,0
2025-02-12,Navam Full Moon Poya Day,Mercantile,2025,2,2025-02,2,0,0,1,1,0,0,0
2025-03-13,Madin Full Moon Poya Day,Mercantile,2025,3,2025-03,3,0,0,1,1,0,0,0
2025-04-12,Bak Full Moon Poya Day,Mercantile,2025,4,2025-04,5,0,0,1,1,1,0,0
2025-04-13,Day Prior to Sinhala & Tamil New Year Day,Mercantile,2025,4,2025-04,6,0,0,1,0,1,0,1
2025-04-14,Sinhala & Tamil New Year Day,Mercantile,2025,4,2025-04,0,0,0,1,0,0,1,1
2025-05-01,May Day,Mercantile,2025,5,2025-05,3,0,0,1,0,0,0,0
2025-05-12,Vesak Full Moon Poya Day,Mercantile,2025,5,2025-05,0,0,0,1,1,0,1,1
2025-05-13,Day following Vesak Full Moon Poya Day,Mercantile,2025,5,2025-05,1,0,0,1,1,0,0,1
2025-06-10,Poson Full Moon Poya Day,Mercantile,2025,6,2025-06,1,0,0,1,1,0,0,0
2025-07-10,Esala Full Moon Poya Day,Mercantile,2025,7,2025-07,3,0,0,1,1,0,0,0
2025-08-10,Nikini Full Moon Poya Day,Mercantile,2025,8,2025-08,6,0,0,1,1,1,0,0
2025-09-05,Holy Prophet's Birthday (Milad-Un-Nabi),Mercantile,2025,9,2025-09,4,0,0,1,0,0,1,0
2025-09-07,Binara Full Moon Poya Day,Mercantile,2025,9,2025-09,6,0,0,1,1,1,0,0
2025-10-06,Vap Full Moon Poya Day,Mercantile,2025,10,2025-10,0,0,0,1,1,0,1,0
2025-11-05,Ill Full Moon Poya Day,Mercantile,2025,11,2025-11,2,0,0,1,1,0,0,0
2025-12-04,Unduvap Full Moon Poya Day,Mercantile,2025,12,2025-12,3,0,0,1,1,0,0,0
2025-12-25,Christmas Day,Mercantile,2025,12,2025-12,3,0,0,1,0,0,0,1
